filename,ATTRIBUTE_sampletype,CONTROL,CASE,ATTRIBUTE_media,source_metadata_file,method,polarity,basename,compartment,is_qc,is_istd,is_exctrl,is_biological,run_id,sample_label,sample_label_norm
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-pt001x_ISTDmix-BioS-pt001x_1_Rg80to1200-CE102040-leaf-S1_Run329.mzML,istdmix-bios-pt001x,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-pt001x_ISTDmix-BioS-pt001x_1_Rg80to1200-CE102040-leaf-S1_Run329.mzML,leaf,False,True,False,False,329,ISTDmix-BioS-pt001x_1,ISTDMIX-BIOS-PT001X_1
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-pt0001x_ISTDmix-BioS-pt0001x_1_Rg80to1200-CE102040-root-S1_Run1057.mzML,istdmix-bios-pt0001x,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-pt0001x_ISTDmix-BioS-pt0001x_1_Rg80to1200-CE102040-root-S1_Run1057.mzML,root,False,True,False,False,1057,ISTDmix-BioS-pt0001x_1,ISTDMIX-BIOS-PT0001X_1
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-pt0001x_ISTDmix-BioS-pt0001x_1_Rg80to1200-CE102040-rhizo-S1_Run690.mzML,istdmix-bios-pt0001x,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-pt0001x_ISTDmix-BioS-pt0001x_1_Rg80to1200-CE102040-rhizo-S1_Run690.mzML,rhizosphere,False,True,False,False,690,ISTDmix-BioS-pt0001x_1,ISTDMIX-BIOS-PT0001X_1
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-pt0001x_ISTDmix-BioS-pt0001x_1_Rg80to1200-CE102040-leaf-S1_Run326.mzML,istdmix-bios-pt0001x,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-pt0001x_ISTDmix-BioS-pt0001x_1_Rg80to1200-CE102040-leaf-S1_Run326.mzML,leaf,False,True,False,False,326,ISTDmix-BioS-pt0001x_1,ISTDMIX-BIOS-PT0001X_1
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-1x_ISTDmix-BioS-1x_1_Rg80to1200-CE102040-root-S1_Run1069.mzML,istdmix-bios-1x,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-1x_ISTDmix-BioS-1x_1_Rg80to1200-CE102040-root-S1_Run1069.mzML,root,False,True,False,False,1069,ISTDmix-BioS-1x_1,ISTDMIX-BIOS-1X_1
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-1x_ISTDmix-BioS-1x_1_Rg80to1200-CE102040-rhizo-S1_Run702.mzML,istdmix-bios-1x,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-1x_ISTDmix-BioS-1x_1_Rg80to1200-CE102040-rhizo-S1_Run702.mzML,rhizosphere,False,True,False,False,702,ISTDmix-BioS-1x_1,ISTDMIX-BIOS-1X_1
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-1x_ISTDmix-BioS-1x_1_Rg80to1200-CE102040-leaf-S1_Run338.mzML,istdmix-bios-1x,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-1x_ISTDmix-BioS-1x_1_Rg80to1200-CE102040-leaf-S1_Run338.mzML,leaf,False,True,False,False,338,ISTDmix-BioS-1x_1,ISTDMIX-BIOS-1X_1
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-10x_ISTDmix-BioS-10x_1_Rg80to1200-CE102040-root-S1_Run1072.mzML,istdmix-bios-10x,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-10x_ISTDmix-BioS-10x_1_Rg80to1200-CE102040-root-S1_Run1072.mzML,root,False,True,False,False,1072,ISTDmix-BioS-10x_1,ISTDMIX-BIOS-10X_1
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-10x_ISTDmix-BioS-10x_1_Rg80to1200-CE102040-rhizo-S1_Run705.mzML,istdmix-bios-10x,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-10x_ISTDmix-BioS-10x_1_Rg80to1200-CE102040-rhizo-S1_Run705.mzML,rhizosphere,False,True,False,False,705,ISTDmix-BioS-10x_1,ISTDMIX-BIOS-10X_1
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-10x_ISTDmix-BioS-10x_1_Rg80to1200-CE102040-leaf-S1_Run341.mzML,istdmix-bios-10x,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ISTD-10x_ISTDmix-BioS-10x_1_Rg80to1200-CE102040-leaf-S1_Run341.mzML,leaf,False,True,False,False,341,ISTDmix-BioS-10x_1,ISTDMIX-BIOS-10X_1
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ESTDmix_ESTDmix-1ugmL_1_Rg80to1200-CE102040-root-S1_Run1054.mzML,estdmix-1ugml,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ESTDmix_ESTDmix-1ugmL_1_Rg80to1200-CE102040-root-S1_Run1054.mzML,root,False,True,False,False,1054,ESTDmix-1ugmL_1,ESTDMIX-1UGML_1
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ESTDmix_ESTDmix-1ugmL_1_Rg80to1200-CE102040-rhizo-S1_Run687.mzML,estdmix-1ugml,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ESTDmix_ESTDmix-1ugmL_1_Rg80to1200-CE102040-rhizo-S1_Run687.mzML,rhizosphere,False,True,False,False,687,ESTDmix-1ugmL_1,ESTDMIX-1UGML_1
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ESTDmix_ESTDmix-1ugmL_1_Rg80to1200-CE102040-leaf-S1_Run323.mzML,estdmix-1ugml,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_ESTDmix_ESTDmix-1ugmL_1_Rg80to1200-CE102040-leaf-S1_Run323.mzML,leaf,False,True,False,False,323,ESTDmix-1ugmL_1,ESTDMIX-1UGML_1
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK9_ExCtrl-RM_3_Rg80to1200-CE205060-root-S1_Run986.mzML,exctrl-rm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK9_ExCtrl-RM_3_Rg80to1200-CE205060-root-S1_Run986.mzML,root,False,False,True,False,986,ExCtrl-RM_3,EXCTRL-RM_3
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK8_ExCtrl-RM_2_Rg80to1200-CE102040-root-S1_Run838.mzML,exctrl-rm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK8_ExCtrl-RM_2_Rg80to1200-CE102040-root-S1_Run838.mzML,root,False,False,True,False,838,ExCtrl-RM_2,EXCTRL-RM_2
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK7_ExCtrl-RM_1_Rg80to1200-CE102040-root-S1_Run711.mzML,exctrl-rm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK7_ExCtrl-RM_1_Rg80to1200-CE102040-root-S1_Run711.mzML,root,False,False,True,False,711,ExCtrl-RM_1,EXCTRL-RM_1
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK6_ExCtrl-RZM_3_Rg80to1200-CE205060-rhizo-S1_Run684.mzML,exctrl-rzm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK6_ExCtrl-RZM_3_Rg80to1200-CE205060-rhizo-S1_Run684.mzML,rhizosphere,False,False,True,False,684,ExCtrl-RZM_3,EXCTRL-RZM_3
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK5_ExCtrl-RZM_2_Rg80to1200-CE102040-rhizo-S1_Run454.mzML,exctrl-rzm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK5_ExCtrl-RZM_2_Rg80to1200-CE102040-rhizo-S1_Run454.mzML,rhizosphere,False,False,True,False,454,ExCtrl-RZM_2,EXCTRL-RZM_2
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK4_ExCtrl-RZM_1_Rg80to1200-CE102040-rhizo-S1_Run347.mzML,exctrl-rzm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK4_ExCtrl-RZM_1_Rg80to1200-CE102040-rhizo-S1_Run347.mzML,rhizosphere,False,False,True,False,347,ExCtrl-RZM_1,EXCTRL-RZM_1
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK3_ExCtrl-LM_3_Rg80to1200-CE205060-leaf-S1_Run258.mzML,exctrl-lm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK3_ExCtrl-LM_3_Rg80to1200-CE205060-leaf-S1_Run258.mzML,leaf,False,False,True,False,258,ExCtrl-LM_3,EXCTRL-LM_3
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK2_ExCtrl-LM_2_Rg80to1200-CE102040-leaf-S1_Run202.mzML,exctrl-lm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK2_ExCtrl-LM_2_Rg80to1200-CE102040-leaf-S1_Run202.mzML,leaf,False,False,True,False,202,ExCtrl-LM_2,EXCTRL-LM_2
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK1_ExCtrl-LM_1_Rg80to1200-CE102040-leaf-S1_Run15.mzML,exctrl-lm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_BLK1_ExCtrl-LM_1_Rg80to1200-CE102040-leaf-S1_Run15.mzML,leaf,False,False,True,False,15,ExCtrl-LM_1,EXCTRL-LM_1
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_9RZM_BESC-133-Clat-RZM_3_Rg80to1200-CE205060-rhizo-S1_Run590.mzML,besc-133-clat-rzm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_9RZM_BESC-133-Clat-RZM_3_Rg80to1200-CE205060-rhizo-S1_Run590.mzML,rhizosphere,False,False,False,True,590,BESC-133-Clat-RZM_3,BESC-133-CLAT-RZM_3
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_9RM_BESC-133-Clat-RM_3_Rg80to1200-CE205060-root-S1_Run954.mzML,besc-133-clat-rm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_9RM_BESC-133-Clat-RM_3_Rg80to1200-CE205060-root-S1_Run954.mzML,root,False,False,False,True,954,BESC-133-Clat-RM_3,BESC-133-CLAT-RM_3
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_9LM_BESC-133-Clat-LM_3_Rg80to1200-CE205060-leaf-S1_Run288.mzML,besc-133-clat-lm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_9LM_BESC-133-Clat-LM_3_Rg80to1200-CE205060-leaf-S1_Run288.mzML,leaf,False,False,False,True,288,BESC-133-Clat-LM_3,BESC-133-CLAT-LM_3
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_99RZM_GW-9591-Corv-RZM_1_Rg80to1200-CE102040-rhizo-S1_Run365.mzML,gw-9591-corv-rzm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_99RZM_GW-9591-Corv-RZM_1_Rg80to1200-CE102040-rhizo-S1_Run365.mzML,rhizosphere,False,False,False,True,365,GW-9591-Corv-RZM_1,GW-9591-CORV-RZM_1
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_99RM_GW-9591-Corv-RM_1_Rg80to1200-CE102040-root-S1_Run779.mzML,gw-9591-corv-rm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_99RM_GW-9591-Corv-RM_1_Rg80to1200-CE102040-root-S1_Run779.mzML,root,False,False,False,True,779,GW-9591-Corv-RM_1,GW-9591-CORV-RM_1
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_99LM_GW-9591-Corv-LM_1_Rg80to1200-CE102040-leaf-S1_Run51.mzML,gw-9591-corv-lm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_99LM_GW-9591-Corv-LM_1_Rg80to1200-CE102040-leaf-S1_Run51.mzML,leaf,False,False,False,True,51,GW-9591-Corv-LM_1,GW-9591-CORV-LM_1
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_98RZM_GW-9591-Clat-RZM_3_Rg80to1200-CE205060-rhizo-S1_Run655.mzML,gw-9591-clat-rzm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_98RZM_GW-9591-Clat-RZM_3_Rg80to1200-CE205060-rhizo-S1_Run655.mzML,rhizosphere,False,False,False,True,655,GW-9591-Clat-RZM_3,GW-9591-CLAT-RZM_3
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_98RM_GW-9591-Clat-RM_3_Rg80to1200-CE205060-root-S1_Run1016.mzML,gw-9591-clat-rm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_98RM_GW-9591-Clat-RM_3_Rg80to1200-CE205060-root-S1_Run1016.mzML,root,False,False,False,True,1016,GW-9591-Clat-RM_3,GW-9591-CLAT-RM_3
20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_98LM_GW-9591-Clat-LM_3_Rg80to1200-CE205060-leaf-S1_Run279.mzML,gw-9591-clat-lm,exctrl-rm,exctrl-rzm,exctrl-lm,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_RENAME_negative_metadata (1).tab,C18,negative,20220211_JGI_MD_507130_BioS_final1_IDX_C18_USDAY59443_NEG_MSMS_98LM_GW-9591-Clat-LM_3_Rg80to1200-CE205060-leaf-S1_Run279.mzML,leaf,False,False,False,True,279,GW-9591-Clat-LM_3,GW-9591-CLAT-LM_3
