,0
Wolbachia endosymbiont of Drosophila melanogaster,0.7
Candidatus Methylopumilus turicensis,0.7
Pseudomonas silesiensis,0.7
Endozoicomonas montiporae,0.7
Curtobacterium sp. BH-2-1-1,0.7
Curtobacterium pusillum,0.7
Delftia acidovorans,0.7
Escherichia coli,0.7
Bacillus cereus,0.7
Parabacteroides distasonis,0.7
Pseudomonas aeruginosa,0.7
Dickeya sp. NCPPB 3274,0.7
Gemmatirosa kalamazoonesis,0.7
Pseudomonas virus PaMx74,0.7
Paenibacillus sp. FSL P4-0081,0.7
Pseudomonas sp. K2W31S-8,1.4215108076076528
Asticcacaulis excentricus,0.7
Micromonospora sp. L5,0.7
Actinoalloteichus sp. GBA129-24,0.7
Pseudomonas sp. MRSN12121,0.7
Kutzneria albida,0.7
Streptomyces sp. 3214.6,0.7
Wolbachia endosymbiont of Brugia malayi,0.7
Pseudomonas sp. LAB-08,0.7
Stenotrophomonas sp. MYb57,0.7
Burkholderia sp. PAMC 26561,0.7
Lactobacillus crispatus,0.7
Streptomyces virus Sujidade,0.7
Burkholderia sp. CCGE1002,0.7
Pseudoxanthomonas spadix,0.7
Paraburkholderia phymatum,0.7
Aquitalea magnusonii,0.7
Ensifer adhaerens,0.7
Rhizobium phaseoli,0.7
Bordetella parapertussis,0.7
Agromyces sp. 30A,0.7
Phyllobacterium zundukense,0.7
Candidatus Methylopumilus planktonicus,0.7
Clostridium estertheticum,0.7
Conexibacter woesei,0.7
Xanthomonas albilineans,0.7
Bordetella pertussis,0.7
Bordetella pseudohinzii,0.7
Azospira oryzae,0.7
Mesorhizobium sp. DCY119,0.7
Bordetella flabilis,0.7
Yersinia massiliensis,0.7
Pseudomonas saudiphocaensis,0.7
Marivirga tractuosa,0.7
Acidobacteriaceae bacterium SBC82,0.7
Owenweeksia hongkongensis,0.7
Hymenobacter sp. PAMC 26554,0.7
Flavobacterium indicum,0.7
Polaromonas sp. SP1,0.7
Mesorhizobium ciceri,0.7
Rhizobium favelukesii,0.7
Sphingobium yanoikuyae,0.7
Dickeya solani,0.7
Pseudomonas entomophila,0.7
Pseudomonas sp. s211(2017),0.7
Pseudomonas sp. DY-1,0.7
Pseudomonas granadensis,0.7
Pseudomonas kribbensis,0.7
Pseudomonas lurida,0.7
Rhizobium phage 16-3,0.7
Pseudomonas sp. JY-Q,0.7
Flavobacterium gilvum,0.7
Serratia sp. 3ACOL1,0.7
Streptomyces sviceus,0.7
Rhodococcus sp. MTM3W5.2,0.7
Pseudarthrobacter equi,0.7
Clostridium butyricum,0.7
Streptomyces globosus,0.7
Escherichia fergusonii,0.7
Flavobacterium crassostreae,0.7
Actinoplanes sp. SE50/110,0.7
Clostridium saccharoperbutylacetonicum,0.7
Microvirga ossetica,0.7
Edwardsiella anguillarum,0.7
