biosample_id,metabolomics_run_count,dgms_ids,methods,polarities
nan,4,nan,C18;HILICZ,negative;positive
nmdc:bsm-11-6y2dt532,4,nmdc:dgms-12-20rn3432;nmdc:dgms-12-atck6f34;nmdc:dgms-12-b1hs1y29;nmdc:dgms-12-tgb21528,C18;HILICZ,negative;positive
nmdc:bsm-11-6zd5nb38,4,nmdc:dgms-12-8t0w9s23;nmdc:dgms-12-fqhvcb80;nmdc:dgms-12-g91eme27;nmdc:dgms-12-mdkt1n34,C18;HILICZ,negative;positive
nmdc:bsm-11-7bbm7795,4,nmdc:dgms-12-dphg2k88;nmdc:dgms-12-m1xn4g66;nmdc:dgms-12-nhgse529;nmdc:dgms-12-s2mc1z32,C18;HILICZ,negative;positive
nmdc:bsm-11-7j0fnc87,4,nmdc:dgms-12-7by6x716;nmdc:dgms-12-8k7z3692;nmdc:dgms-12-n8gxkz52;nmdc:dgms-12-sf09z976,C18;HILICZ,negative;positive
nmdc:bsm-11-7n6p8d80,4,nmdc:dgms-12-6xc03q97;nmdc:dgms-12-d1y25s26;nmdc:dgms-12-knxfj346;nmdc:dgms-12-mmt1c336,C18;HILICZ,negative;positive
nmdc:bsm-11-7yjtg159,4,nmdc:dgms-12-57z7a455;nmdc:dgms-12-hpbrsm64;nmdc:dgms-12-tytm8n54;nmdc:dgms-12-y8rq7q67,C18;HILICZ,negative;positive
nmdc:bsm-11-8ah8pz02,4,nmdc:dgms-12-0e1thh19;nmdc:dgms-12-38rq2163;nmdc:dgms-12-ed302m52;nmdc:dgms-12-k9m0m471,C18;HILICZ,negative;positive
nmdc:bsm-11-8eypa967,4,nmdc:dgms-12-396cs202;nmdc:dgms-12-59k28b61;nmdc:dgms-12-d6jx2w43;nmdc:dgms-12-mbjgmn06,C18;HILICZ,negative;positive
nmdc:bsm-11-8wd4pp40,4,nmdc:dgms-12-amham474;nmdc:dgms-12-mv7sx551;nmdc:dgms-12-nzhew187;nmdc:dgms-12-q2hgkf52,C18;HILICZ,negative;positive
nmdc:bsm-11-90vp2x95,4,nmdc:dgms-12-7drgf177;nmdc:dgms-12-qc9yv426;nmdc:dgms-12-xh28w552;nmdc:dgms-12-xyy0p307,C18;HILICZ,negative;positive
nmdc:bsm-11-97dgrv19,4,nmdc:dgms-12-2nv7y959;nmdc:dgms-12-3r8jyc07;nmdc:dgms-12-462ta673;nmdc:dgms-12-jfnpve13,C18;HILICZ,negative;positive
nmdc:bsm-11-9gmcv191,4,nmdc:dgms-12-1btfba25;nmdc:dgms-12-6dgwpv49;nmdc:dgms-12-p6v9mn79;nmdc:dgms-12-yn0jb390,C18;HILICZ,negative;positive
nmdc:bsm-11-aan31e03,4,nmdc:dgms-12-1fz3wg32;nmdc:dgms-12-gb1v6726;nmdc:dgms-12-pdvaph96;nmdc:dgms-12-zs9dat86,C18;HILICZ,negative;positive
nmdc:bsm-11-ad739z23,4,nmdc:dgms-12-dz3akx32;nmdc:dgms-12-ng5b7c44;nmdc:dgms-12-qgzby064;nmdc:dgms-12-skpng327,C18;HILICZ,negative;positive
nmdc:bsm-11-adwwk217,4,nmdc:dgms-12-6qhtms57;nmdc:dgms-12-aymr2207;nmdc:dgms-12-bbmgnx37;nmdc:dgms-12-phgzw741,C18;HILICZ,negative;positive
nmdc:bsm-11-adzwqg44,4,nmdc:dgms-12-8et6y647;nmdc:dgms-12-agz58160;nmdc:dgms-12-wc9p1b44;nmdc:dgms-12-zqsa6v10,C18;HILICZ,negative;positive
nmdc:bsm-11-af8ap759,4,nmdc:dgms-12-3xy7sw21;nmdc:dgms-12-4fkytb85;nmdc:dgms-12-amhbpr48;nmdc:dgms-12-azgrqm31,C18;HILICZ,negative;positive
nmdc:bsm-11-ahpvvb55,4,nmdc:dgms-12-3p73d304;nmdc:dgms-12-7xcht157;nmdc:dgms-12-83c0ze50;nmdc:dgms-12-nh628y30,C18;HILICZ,negative;positive
nmdc:bsm-11-arjq1c41,4,nmdc:dgms-12-3e44k227;nmdc:dgms-12-4rp76x51;nmdc:dgms-12-k6dz2q82;nmdc:dgms-12-kdyyzt86,C18;HILICZ,negative;positive
nmdc:bsm-11-at9sda86,4,nmdc:dgms-12-76h2ws94;nmdc:dgms-12-8vhq1151;nmdc:dgms-12-bwa7h635;nmdc:dgms-12-rxj6w330,C18;HILICZ,negative;positive
nmdc:bsm-11-azfn2405,4,nmdc:dgms-12-0et7je92;nmdc:dgms-12-cqrvqh45;nmdc:dgms-12-m00hpt27;nmdc:dgms-12-xt3h1511,C18;HILICZ,negative;positive
nmdc:bsm-11-aztxt406,4,nmdc:dgms-12-m115dq67;nmdc:dgms-12-tgvq0t45;nmdc:dgms-12-tq10r597;nmdc:dgms-12-x3x38m82,C18;HILICZ,negative;positive
nmdc:bsm-11-b3d5yg81,4,nmdc:dgms-12-2bgqsj28;nmdc:dgms-12-g1zgv934;nmdc:dgms-12-tfgptm63;nmdc:dgms-12-wj14yx67,C18;HILICZ,negative;positive
nmdc:bsm-11-bd18tk15,4,nmdc:dgms-12-7n4ksg78;nmdc:dgms-12-f4gqdd41;nmdc:dgms-12-fp8kqp13;nmdc:dgms-12-wcvxy623,C18;HILICZ,negative;positive
nmdc:bsm-11-cd09p052,4,nmdc:dgms-12-4hcsm896;nmdc:dgms-12-ffarqa55;nmdc:dgms-12-k0t1sh70;nmdc:dgms-12-y13bvv41,C18;HILICZ,negative;positive
nmdc:bsm-11-ce1sg012,4,nmdc:dgms-12-964kxb88;nmdc:dgms-12-g55p8v35;nmdc:dgms-12-mvxeba78;nmdc:dgms-12-rfcgsp24,C18;HILICZ,negative;positive
nmdc:bsm-11-d1h1d248,4,nmdc:dgms-12-5s4vxp42;nmdc:dgms-12-kmt6rs39;nmdc:dgms-12-q3yzvp39;nmdc:dgms-12-z6t9pd08,C18;HILICZ,negative;positive
nmdc:bsm-11-da01b330,4,nmdc:dgms-12-1axmj596;nmdc:dgms-12-9rmh9092;nmdc:dgms-12-mncy9r27;nmdc:dgms-12-zw613e97,C18;HILICZ,negative;positive
nmdc:bsm-11-e9z5qp65,4,nmdc:dgms-12-2c3ayz22;nmdc:dgms-12-61qea943;nmdc:dgms-12-h8r4ma15;nmdc:dgms-12-zb69jm74,C18;HILICZ,negative;positive
nmdc:bsm-11-ehqk1b45,4,nmdc:dgms-12-75cst942;nmdc:dgms-12-c3n77r51;nmdc:dgms-12-ga2zvn11;nmdc:dgms-12-nt5ktz82,C18;HILICZ,negative;positive
nmdc:bsm-11-f0st6436,4,nmdc:dgms-12-6xwwad51;nmdc:dgms-12-d1pyrx12;nmdc:dgms-12-gysngy50;nmdc:dgms-12-zmd59407,C18;HILICZ,negative;positive
nmdc:bsm-11-fr4c9n11,4,nmdc:dgms-12-03ej2990;nmdc:dgms-12-0q1kw277;nmdc:dgms-12-h573m895;nmdc:dgms-12-wtweck64,C18;HILICZ,negative;positive
nmdc:bsm-11-g9w69290,4,nmdc:dgms-12-54w9dz30;nmdc:dgms-12-g7ma0b77;nmdc:dgms-12-t2k2b931;nmdc:dgms-12-t6t3vf76,C18;HILICZ,negative;positive
nmdc:bsm-11-ga8cav80,4,nmdc:dgms-12-eb683j28;nmdc:dgms-12-g656fm18;nmdc:dgms-12-jzzcaq95;nmdc:dgms-12-p70fqq53,C18;HILICZ,negative;positive
nmdc:bsm-11-h49t7j41,4,nmdc:dgms-12-7v2aa771;nmdc:dgms-12-j1hxbg57;nmdc:dgms-12-jwctr139;nmdc:dgms-12-r7s5md55,C18;HILICZ,negative;positive
nmdc:bsm-11-hae6xn61,4,nmdc:dgms-12-3h0zbe92;nmdc:dgms-12-tythxn76;nmdc:dgms-12-vd457894;nmdc:dgms-12-vzr7dh20,C18;HILICZ,negative;positive
nmdc:bsm-11-hhb2g180,4,nmdc:dgms-12-0tzkn963;nmdc:dgms-12-j9x4wa87;nmdc:dgms-12-qwjjnx50;nmdc:dgms-12-wzrmc686,C18;HILICZ,negative;positive
nmdc:bsm-11-hx8qxc63,4,nmdc:dgms-12-74wq0x95;nmdc:dgms-12-vv9cxd52;nmdc:dgms-12-wzwzx786;nmdc:dgms-12-zjsc9d15,C18;HILICZ,negative;positive
nmdc:bsm-11-j8ezj858,4,nmdc:dgms-12-1r7x3e66;nmdc:dgms-12-2b8brz45;nmdc:dgms-12-67512b85;nmdc:dgms-12-a72vey55,C18;HILICZ,negative;positive
nmdc:bsm-11-jqwsb466,4,nmdc:dgms-12-5yzgtf09;nmdc:dgms-12-6qjgec18;nmdc:dgms-12-dz2e6277;nmdc:dgms-12-fm6wv590,C18;HILICZ,negative;positive
nmdc:bsm-11-jrahe581,4,nmdc:dgms-12-9atbm875;nmdc:dgms-12-h71f7227;nmdc:dgms-12-nn6n0d27;nmdc:dgms-12-q6w7dq62,C18;HILICZ,negative;positive
nmdc:bsm-11-k3zdem68,4,nmdc:dgms-12-4a4drz20;nmdc:dgms-12-7vdvjr02;nmdc:dgms-12-db32f607;nmdc:dgms-12-e848h333,C18;HILICZ,negative;positive
nmdc:bsm-11-k7fkcz65,4,nmdc:dgms-12-9y4e2a54;nmdc:dgms-12-ba1e3n38;nmdc:dgms-12-w6yp8550;nmdc:dgms-12-zpabfe74,C18;HILICZ,negative;positive
nmdc:bsm-11-k7jqh647,4,nmdc:dgms-12-84kvtv66;nmdc:dgms-12-f6g8am83;nmdc:dgms-12-hdpjyj57;nmdc:dgms-12-vy40vg12,C18;HILICZ,negative;positive
nmdc:bsm-11-k7v09098,4,nmdc:dgms-12-2t6e1v43;nmdc:dgms-12-f5trx844;nmdc:dgms-12-y3wnk778;nmdc:dgms-12-yhp0as28,C18;HILICZ,negative;positive
nmdc:bsm-11-kff3y587,4,nmdc:dgms-12-2rbts353;nmdc:dgms-12-bsmnka97;nmdc:dgms-12-wnd91f58;nmdc:dgms-12-zp09yx22,C18;HILICZ,negative;positive
nmdc:bsm-11-kgjz0433,4,nmdc:dgms-12-01kx7877;nmdc:dgms-12-3gexqv96;nmdc:dgms-12-nqpre713;nmdc:dgms-12-pzz61763,C18;HILICZ,negative;positive
nmdc:bsm-11-kgkcxn39,4,nmdc:dgms-12-3nzhfn65;nmdc:dgms-12-53cx2k43;nmdc:dgms-12-bknd2404;nmdc:dgms-12-pkbjg686,C18;HILICZ,negative;positive
nmdc:bsm-11-kgm2s608,4,nmdc:dgms-12-e4x9vw64;nmdc:dgms-12-ggz3k531;nmdc:dgms-12-j7t4pa52;nmdc:dgms-12-jw51t806,C18;HILICZ,negative;positive
nmdc:bsm-11-kz54ep97,4,nmdc:dgms-12-0cn1e577;nmdc:dgms-12-0wx6q987;nmdc:dgms-12-pgtqcq85;nmdc:dgms-12-y3fgqp48,C18;HILICZ,negative;positive
nmdc:bsm-11-nn5snj10,4,nmdc:dgms-12-60863n19;nmdc:dgms-12-dddj1b24;nmdc:dgms-12-sr7a8a07;nmdc:dgms-12-t47m4r65,C18;HILICZ,negative;positive
nmdc:bsm-11-nvgcpg87,4,nmdc:dgms-12-78kkw397;nmdc:dgms-12-ekn2px03;nmdc:dgms-12-ercat453;nmdc:dgms-12-rshs7j08,C18;HILICZ,negative;positive
nmdc:bsm-11-nz6f9964,4,nmdc:dgms-12-fy0r9619;nmdc:dgms-12-kxkx7k42;nmdc:dgms-12-vaqapr40;nmdc:dgms-12-xejjfe86,C18;HILICZ,negative;positive
nmdc:bsm-11-pejvvs20,4,nmdc:dgms-12-5sagyq12;nmdc:dgms-12-94q9f752;nmdc:dgms-12-hbmdpb32;nmdc:dgms-12-kxj3f773,C18;HILICZ,negative;positive
nmdc:bsm-11-pgfhya35,4,nmdc:dgms-12-92xjd525;nmdc:dgms-12-hwr1kx83;nmdc:dgms-12-nxkg4h29;nmdc:dgms-12-q83p1e44,C18;HILICZ,negative;positive
nmdc:bsm-11-qyx7qs76,4,nmdc:dgms-12-2zvyy933;nmdc:dgms-12-4a9trx33;nmdc:dgms-12-89n1sy18;nmdc:dgms-12-j8qygy56,C18;HILICZ,negative;positive
nmdc:bsm-11-rbzk5h49,4,nmdc:dgms-12-asmwnx66;nmdc:dgms-12-b9ysfc73;nmdc:dgms-12-e57hcg08;nmdc:dgms-12-t49ne578,C18;HILICZ,negative;positive
nmdc:bsm-11-rtchk112,4,nmdc:dgms-12-55qx3e35;nmdc:dgms-12-b96eqs43;nmdc:dgms-12-cpjbxj06;nmdc:dgms-12-nk4xkn12,C18;HILICZ,negative;positive
nmdc:bsm-11-s110fy15,4,nmdc:dgms-12-8v6hrp98;nmdc:dgms-12-a12m3b82;nmdc:dgms-12-ktkxmx79;nmdc:dgms-12-ydtnsf63,C18;HILICZ,negative;positive
nmdc:bsm-11-spzb5g89,4,nmdc:dgms-12-3pgx1e16;nmdc:dgms-12-ae8qxt55;nmdc:dgms-12-jphr1s64;nmdc:dgms-12-kcx1eb23,C18;HILICZ,negative;positive
nmdc:bsm-11-sqpv6146,4,nmdc:dgms-12-225sk193;nmdc:dgms-12-dqn81j32;nmdc:dgms-12-rvza0004;nmdc:dgms-12-wejrqr56,C18;HILICZ,negative;positive
nmdc:bsm-11-szd4fj93,4,nmdc:dgms-12-aycy4x76;nmdc:dgms-12-bkj4eq91;nmdc:dgms-12-fknj9013;nmdc:dgms-12-hm7fqm79,C18;HILICZ,negative;positive
nmdc:bsm-11-thpb7b07,4,nmdc:dgms-12-9kbsws90;nmdc:dgms-12-g0c5cd05;nmdc:dgms-12-g7gnz859;nmdc:dgms-12-h89r1147,C18;HILICZ,negative;positive
nmdc:bsm-11-tzp7r259,4,nmdc:dgms-12-5ty4p945;nmdc:dgms-12-ft0mqg44;nmdc:dgms-12-jhpm6f40;nmdc:dgms-12-sf45r669,C18;HILICZ,negative;positive
nmdc:bsm-11-v0hqhp22,4,nmdc:dgms-12-5972kx49;nmdc:dgms-12-e8w47b03;nmdc:dgms-12-h9f1ar42;nmdc:dgms-12-p2c5rk96,C18;HILICZ,negative;positive
nmdc:bsm-11-v1ynyj85,4,nmdc:dgms-12-j6jf1q27;nmdc:dgms-12-nwmcwv64;nmdc:dgms-12-pkeqfq65;nmdc:dgms-12-pxxbrc62,C18;HILICZ,negative;positive
nmdc:bsm-11-v85xpj21,4,nmdc:dgms-12-0rzfme52;nmdc:dgms-12-84dazm97;nmdc:dgms-12-jeamkr14;nmdc:dgms-12-kh71tv67,C18;HILICZ,negative;positive
nmdc:bsm-11-vc1cgz17,4,nmdc:dgms-12-6e3s6c38;nmdc:dgms-12-caeh8h83;nmdc:dgms-12-ghqzng58;nmdc:dgms-12-z3cv8b68,C18;HILICZ,negative;positive
nmdc:bsm-11-vcna9q80,4,nmdc:dgms-12-f4pacq15;nmdc:dgms-12-k2q6r664;nmdc:dgms-12-k4bh1s40;nmdc:dgms-12-q6ay9h34,C18;HILICZ,negative;positive
nmdc:bsm-11-vnkf4228,4,nmdc:dgms-12-0s71b942;nmdc:dgms-12-2n32jw86;nmdc:dgms-12-qcsqes08;nmdc:dgms-12-zdmtm042,C18;HILICZ,negative;positive
nmdc:bsm-11-vv577p15,4,nmdc:dgms-12-fxdwz810;nmdc:dgms-12-gt3h1m82;nmdc:dgms-12-hf7n9d77;nmdc:dgms-12-t5typf80,C18;HILICZ,negative;positive
nmdc:bsm-11-wdfz5578,4,nmdc:dgms-12-701ama19;nmdc:dgms-12-nt6pt131;nmdc:dgms-12-scdw9087;nmdc:dgms-12-zw9rsp23,C18;HILICZ,negative;positive
nmdc:bsm-11-wj8zqj74,4,nmdc:dgms-12-61mfp146;nmdc:dgms-12-83v79x47;nmdc:dgms-12-q4rkq248;nmdc:dgms-12-qamt3f83,C18;HILICZ,negative;positive
nmdc:bsm-11-wm40z541,4,nmdc:dgms-12-ga7g0t50;nmdc:dgms-12-pys4cj59;nmdc:dgms-12-sjz55c78;nmdc:dgms-12-xv2zq230,C18;HILICZ,negative;positive
nmdc:bsm-11-wpsg6186,4,nmdc:dgms-12-54sr1v57;nmdc:dgms-12-891gwk36;nmdc:dgms-12-9086km56;nmdc:dgms-12-dxx6ms96,C18;HILICZ,negative;positive
nmdc:bsm-11-wpye0n32,4,nmdc:dgms-12-4s8d7y49;nmdc:dgms-12-n8sdc015;nmdc:dgms-12-tetp1d35;nmdc:dgms-12-w7s78752,C18;HILICZ,negative;positive
nmdc:bsm-11-xgrda154,4,nmdc:dgms-12-gygyt534;nmdc:dgms-12-hcbhmy82;nmdc:dgms-12-mrccwb37;nmdc:dgms-12-rzkdfz78,C18;HILICZ,negative;positive
nmdc:bsm-11-xhbae603,4,nmdc:dgms-12-327nbe32;nmdc:dgms-12-5qa0qv02;nmdc:dgms-12-bg582k56;nmdc:dgms-12-v763y681,C18;HILICZ,negative;positive
nmdc:bsm-11-yms2f086,4,nmdc:dgms-12-58m2r182;nmdc:dgms-12-6bmrgp85;nmdc:dgms-12-ann5pb93;nmdc:dgms-12-z8579q89,C18;HILICZ,negative;positive
nmdc:bsm-11-yxxvqg27,4,nmdc:dgms-12-0kcrrm69;nmdc:dgms-12-anfcgn54;nmdc:dgms-12-n3mc8z94;nmdc:dgms-12-qrdq3954,C18;HILICZ,negative;positive
nmdc:bsm-11-z1r5gy96,4,nmdc:dgms-12-333syq15;nmdc:dgms-12-4nepg056;nmdc:dgms-12-8984sv03;nmdc:dgms-12-rwzsqj47,C18;HILICZ,negative;positive
nmdc:bsm-11-zmsv5494,4,nmdc:dgms-12-dva1v677;nmdc:dgms-12-qsqw4085;nmdc:dgms-12-szcys935;nmdc:dgms-12-vfyc2n90,C18;HILICZ,negative;positive
nmdc:bsm-11-zpf4n944,4,nmdc:dgms-12-cmcfdc42;nmdc:dgms-12-h7fjyr60;nmdc:dgms-12-rya9fa30;nmdc:dgms-12-vaj81824,C18;HILICZ,negative;positive
nmdc:bsm-11-zqaeph53,4,nmdc:dgms-12-23x1tc92;nmdc:dgms-12-hbz3hh89;nmdc:dgms-12-skpqzy25;nmdc:dgms-12-yne6xx14,C18;HILICZ,negative;positive
nmdc:bsm-11-zxvekh84,4,nmdc:dgms-12-1zcj4871;nmdc:dgms-12-42rjjn70;nmdc:dgms-12-a45qrv65;nmdc:dgms-12-b25fyb02,C18;HILICZ,negative;positive
