host_id,nmdc_biosample_id,biosample_id_norm,metagenome_accession,metabolomics_id,gold_project_id,cohort_status,soil_match,metagenomics_match
BESC-86-CL2_69_17,nmdc:bsm-11-7bbm7795,nmdc_bsm-11-7bbm7795,SRX21791433,nmdc:dgms-12-nhgse529;nmdc:dgms-12-dphg2k88;nmdc:dgms-12-m1xn4g66;nmdc:dgms-12-s2mc1z32,Gp0566827,ready,yes,yes
BESC-866-CL2_50_11,nmdc:bsm-11-7j0fnc87,nmdc_bsm-11-7j0fnc87,SRX21791465,nmdc:dgms-12-sf09z976;nmdc:dgms-12-7by6x716;nmdc:dgms-12-n8gxkz52;nmdc:dgms-12-8k7z3692,Gp0566828,ready,yes,yes
BESC-866-CL3_75_7,nmdc:bsm-11-7n6p8d80,nmdc_bsm-11-7n6p8d80,SRX21791450,nmdc:dgms-12-mmt1c336;nmdc:dgms-12-6xc03q97;nmdc:dgms-12-knxfj346;nmdc:dgms-12-d1y25s26,Gp0566829,ready,yes,yes
SKWA-24-3-Co3_23_35,nmdc:bsm-11-7yjtg159,nmdc_bsm-11-7yjtg159,SRX21790358,nmdc:dgms-12-y8rq7q67;nmdc:dgms-12-57z7a455;nmdc:dgms-12-hpbrsm64;nmdc:dgms-12-tytm8n54,Gp0566859,ready,yes,yes
BESC-258-CL2_67_23,nmdc:bsm-11-8ah8pz02,nmdc_bsm-11-8ah8pz02,SRX21792408,nmdc:dgms-12-k9m0m471;nmdc:dgms-12-ed302m52;nmdc:dgms-12-38rq2163;nmdc:dgms-12-0e1thh19,Gp0566776,ready,yes,yes
BESC-905-CL1_32_20,nmdc:bsm-11-8eypa967,nmdc_bsm-11-8eypa967,SRX21791446,nmdc:dgms-12-396cs202;nmdc:dgms-12-d6jx2w43;nmdc:dgms-12-59k28b61;nmdc:dgms-12-mbjgmn06,Gp0566838,ready,yes,yes
BESC-866-Co1_10_5,nmdc:bsm-11-8wd4pp40,nmdc_bsm-11-8wd4pp40,SRX21791470,nmdc:dgms-12-amham474;nmdc:dgms-12-q2hgkf52;nmdc:dgms-12-nzhew187;nmdc:dgms-12-mv7sx551,Gp0566830,ready,yes,yes
BESC-56-Co1_22_4,nmdc:bsm-11-90vp2x95,nmdc_bsm-11-90vp2x95,SRX21791429,nmdc:dgms-12-qc9yv426;nmdc:dgms-12-7drgf177;nmdc:dgms-12-xh28w552;nmdc:dgms-12-xyy0p307,Gp0566807,ready,yes,yes
BESC-13-Co1_30_3,nmdc:bsm-11-97dgrv19,nmdc_bsm-11-97dgrv19,SRX21792398,nmdc:dgms-12-462ta673;nmdc:dgms-12-2nv7y959;nmdc:dgms-12-3r8jyc07;nmdc:dgms-12-jfnpve13,Gp0566759,ready,yes,yes
BESC-388-CL1_25_34,nmdc:bsm-11-9gmcv191,nmdc_bsm-11-9gmcv191,SRX21791454,nmdc:dgms-12-6dgwpv49;nmdc:dgms-12-yn0jb390;nmdc:dgms-12-1btfba25;nmdc:dgms-12-p6v9mn79,Gp0566798,ready,yes,yes
SKWA-24-3-CL2_69_25,nmdc:bsm-11-aan31e03,nmdc_bsm-11-aan31e03,SRX21791385,nmdc:dgms-12-1fz3wg32;nmdc:dgms-12-gb1v6726;nmdc:dgms-12-zs9dat86;nmdc:dgms-12-pdvaph96,Gp0566856,ready,yes,yes
BESC-133-Co2_50_25,nmdc:bsm-11-ad739z23,nmdc_bsm-11-ad739z23,SRX21791490,nmdc:dgms-12-dz3akx32;nmdc:dgms-12-skpng327;nmdc:dgms-12-qgzby064;nmdc:dgms-12-ng5b7c44,Gp0566766,ready,yes,yes
BESC-845-CL2_37_16,nmdc:bsm-11-adwwk217,nmdc_bsm-11-adwwk217,SRX21791491,nmdc:dgms-12-6qhtms57;nmdc:dgms-12-bbmgnx37;nmdc:dgms-12-phgzw741;nmdc:dgms-12-aymr2207,Gp0566816,ready,yes,yes
BESC-360-CL2_44_14,nmdc:bsm-11-adzwqg44,nmdc_bsm-11-adzwqg44,SRX21791441,nmdc:dgms-12-8et6y647;nmdc:dgms-12-zqsa6v10;nmdc:dgms-12-wc9p1b44;nmdc:dgms-12-agz58160,Gp0566794,ready,yes,yes
SKWD-24-1-CL2_58_25,nmdc:bsm-11-af8ap759,nmdc_bsm-11-af8ap759,SRX21790359,nmdc:dgms-12-4fkytb85;nmdc:dgms-12-amhbpr48;nmdc:dgms-12-3xy7sw21;nmdc:dgms-12-azgrqm31,Gp0566860,ready,yes,yes
GW-9591-CL1_34_16,nmdc:bsm-11-ahpvvb55,nmdc_bsm-11-ahpvvb55,SRX21790357,nmdc:dgms-12-nh628y30;nmdc:dgms-12-83c0ze50;nmdc:dgms-12-7xcht157;nmdc:dgms-12-3p73d304,Gp0566850,ready,yes,yes
BESC-307-Co2_62_14,nmdc:bsm-11-arjq1c41,nmdc_bsm-11-arjq1c41,SRX21792787,nmdc:dgms-12-k6dz2q82;nmdc:dgms-12-4rp76x51;nmdc:dgms-12-kdyyzt86;nmdc:dgms-12-3e44k227,Gp0566782,ready,yes,yes
BESC-833-CL3_77_6,nmdc:bsm-11-at9sda86,nmdc_bsm-11-at9sda86,SRX21791455,nmdc:dgms-12-rxj6w330;nmdc:dgms-12-8vhq1151;nmdc:dgms-12-bwa7h635;nmdc:dgms-12-76h2ws94,Gp0566811,ready,yes,yes
BESC-331-Co3_15_40,nmdc:bsm-11-azfn2405,nmdc_bsm-11-azfn2405,SRX21792778,nmdc:dgms-12-0et7je92;nmdc:dgms-12-xt3h1511;nmdc:dgms-12-m00hpt27;nmdc:dgms-12-cqrvqh45,Gp0566787,ready,yes,yes
BESC-234-CL2_65_22,nmdc:bsm-11-aztxt406,nmdc_bsm-11-aztxt406,SRX21791487,nmdc:dgms-12-m115dq67;nmdc:dgms-12-tq10r597;nmdc:dgms-12-tgvq0t45;nmdc:dgms-12-x3x38m82,Gp0566771,ready,yes,yes
BESC-234-CL1_24_28,nmdc:bsm-11-b3d5yg81,nmdc_bsm-11-b3d5yg81,SRX21791486,nmdc:dgms-12-2bgqsj28;nmdc:dgms-12-g1zgv934;nmdc:dgms-12-wj14yx67;nmdc:dgms-12-tfgptm63,Gp0566770,ready,yes,yes
BESC-833-Co2_47_23,nmdc:bsm-11-bd18tk15,nmdc_bsm-11-bd18tk15,SRX21792390,nmdc:dgms-12-f4gqdd41;nmdc:dgms-12-wcvxy623;nmdc:dgms-12-7n4ksg78;nmdc:dgms-12-fp8kqp13,Gp0566813,ready,yes,yes
BESC-904-Co1_5_9,nmdc:bsm-11-cd09p052,nmdc_bsm-11-cd09p052,SRX21791437,nmdc:dgms-12-y13bvv41;nmdc:dgms-12-k0t1sh70;nmdc:dgms-12-4hcsm896;nmdc:dgms-12-ffarqa55,Gp0566835,ready,yes,yes
BESC-351-CL1_27_10,nmdc:bsm-11-ce1sg012,nmdc_bsm-11-ce1sg012,SRX21791439,nmdc:dgms-12-g55p8v35;nmdc:dgms-12-mvxeba78;nmdc:dgms-12-rfcgsp24;nmdc:dgms-12-964kxb88,Gp0566788,ready,yes,yes
BESC-234-Co2_52_27,nmdc:bsm-11-d1h1d248,nmdc_bsm-11-d1h1d248,SRX21791492,nmdc:dgms-12-z6t9pd08;nmdc:dgms-12-kmt6rs39;nmdc:dgms-12-5s4vxp42;nmdc:dgms-12-q3yzvp39,Gp0566773,ready,yes,yes
BESC-234-Co3_21_62,nmdc:bsm-11-da01b330,nmdc_bsm-11-da01b330,SRX21792413,nmdc:dgms-12-9rmh9092;nmdc:dgms-12-mncy9r27;nmdc:dgms-12-zw613e97;nmdc:dgms-12-1axmj596,Gp0566774,ready,yes,yes
BESC-56-Co2_51_16,nmdc:bsm-11-e9z5qp65,nmdc_bsm-11-e9z5qp65,SRX21791443,nmdc:dgms-12-2c3ayz22;nmdc:dgms-12-h8r4ma15;nmdc:dgms-12-61qea943;nmdc:dgms-12-zb69jm74,Gp0566808,ready,yes,yes
BESC-133-CL1_28_16,nmdc:bsm-11-ehqk1b45,nmdc_bsm-11-ehqk1b45,SRX21791485,nmdc:dgms-12-ga2zvn11;nmdc:dgms-12-75cst942;nmdc:dgms-12-c3n77r51;nmdc:dgms-12-nt5ktz82,Gp0566762,ready,yes,yes
BESC-13-Co3_21_57,nmdc:bsm-11-f0st6436,nmdc_bsm-11-f0st6436,SRX21791494,nmdc:dgms-12-d1pyrx12;nmdc:dgms-12-gysngy50;nmdc:dgms-12-zmd59407;nmdc:dgms-12-6xwwad51,Gp0566761,ready,yes,yes
BESC-833-CL2_42_16,nmdc:bsm-11-fr4c9n11,nmdc_bsm-11-fr4c9n11,SRX21791444,nmdc:dgms-12-wtweck64;nmdc:dgms-12-03ej2990;nmdc:dgms-12-0q1kw277;nmdc:dgms-12-h573m895,Gp0566810,ready,yes,yes
BESC-133-Co3_19_46,nmdc:bsm-11-g9w69290,nmdc_bsm-11-g9w69290,SRX21791484,nmdc:dgms-12-54w9dz30;nmdc:dgms-12-t6t3vf76;nmdc:dgms-12-t2k2b931;nmdc:dgms-12-g7ma0b77,Gp0566767,ready,yes,yes
BESC-331-Co1_12_7,nmdc:bsm-11-ga8cav80,nmdc_bsm-11-ga8cav80,SRX21792406,nmdc:dgms-12-g656fm18;nmdc:dgms-12-jzzcaq95;nmdc:dgms-12-eb683j28;nmdc:dgms-12-p70fqq53,Gp0566785,ready,yes,yes
BESC-133-Co1_27_3,nmdc:bsm-11-h49t7j41,nmdc_bsm-11-h49t7j41,SRX21791943,nmdc:dgms-12-jwctr139;nmdc:dgms-12-j1hxbg57;nmdc:dgms-12-7v2aa771;nmdc:dgms-12-r7s5md55,Gp0566765,ready,yes,yes
BESC-845-Co2_60_28,nmdc:bsm-11-hae6xn61,nmdc_bsm-11-hae6xn61,SRX21791387,nmdc:dgms-12-vzr7dh20;nmdc:dgms-12-3h0zbe92;nmdc:dgms-12-vd457894;nmdc:dgms-12-tythxn76,Gp0566819,ready,yes,yes
BESC-351-Co2_42_17,nmdc:bsm-11-hhb2g180,nmdc_bsm-11-hhb2g180,SRX21791453,nmdc:dgms-12-qwjjnx50;nmdc:dgms-12-0tzkn963;nmdc:dgms-12-j9x4wa87;nmdc:dgms-12-wzrmc686,Gp0566792,ready,yes,yes
SKWD-24-1-Co1_7_5,nmdc:bsm-11-hx8qxc63,nmdc_bsm-11-hx8qxc63,SRX21790338,nmdc:dgms-12-wzwzx786;nmdc:dgms-12-zjsc9d15;nmdc:dgms-12-vv9cxd52;nmdc:dgms-12-74wq0x95,Gp0566861,ready,yes,yes
BESC-833-Co1_6_4,nmdc:bsm-11-j8ezj858,nmdc_bsm-11-j8ezj858,SRX21792392,nmdc:dgms-12-2b8brz45;nmdc:dgms-12-67512b85;nmdc:dgms-12-1r7x3e66;nmdc:dgms-12-a72vey55,Gp0566812,ready,yes,yes
GW-7986-Co3_31_39,nmdc:bsm-11-jqwsb466,nmdc_bsm-11-jqwsb466,SRX21790339,nmdc:dgms-12-6qjgec18;nmdc:dgms-12-fm6wv590;nmdc:dgms-12-5yzgtf09;nmdc:dgms-12-dz2e6277,Gp0566849,ready,yes,yes
BESC-847-Co3_9_34,nmdc:bsm-11-jrahe581,nmdc_bsm-11-jrahe581,SRX21791425,nmdc:dgms-12-q6w7dq62;nmdc:dgms-12-h71f7227;nmdc:dgms-12-9atbm875;nmdc:dgms-12-nn6n0d27,Gp0566826,ready,yes,yes
BESC-13-CL3_85_26,nmdc:bsm-11-k3zdem68,nmdc_bsm-11-k3zdem68,SRX21792391,nmdc:dgms-12-db32f607;nmdc:dgms-12-e848h333;nmdc:dgms-12-4a4drz20;nmdc:dgms-12-7vdvjr02,Gp0566758,ready,yes,yes
BESC-351-Co1_10_3,nmdc:bsm-11-k7fkcz65,nmdc_bsm-11-k7fkcz65,SRX21791461,nmdc:dgms-12-zpabfe74;nmdc:dgms-12-ba1e3n38;nmdc:dgms-12-w6yp8550;nmdc:dgms-12-9y4e2a54,Gp0566791,ready,yes,yes
BESC-13-CL2_39_29,nmdc:bsm-11-k7jqh647,nmdc_bsm-11-k7jqh647,SRX21792799,nmdc:dgms-12-84kvtv66;nmdc:dgms-12-f6g8am83;nmdc:dgms-12-vy40vg12;nmdc:dgms-12-hdpjyj57,Gp0566757,ready,yes,yes
BESC-360-Co1_23_6,nmdc:bsm-11-k7v09098,nmdc_bsm-11-k7v09098,SRX21791457,nmdc:dgms-12-f5trx844;nmdc:dgms-12-y3wnk778;nmdc:dgms-12-yhp0as28;nmdc:dgms-12-2t6e1v43,Gp0566839,ready,yes,yes
GW-11047-CL2_41_30,nmdc:bsm-11-kff3y587,nmdc_bsm-11-kff3y587,SRX21791426,nmdc:dgms-12-bsmnka97;nmdc:dgms-12-zp09yx22;nmdc:dgms-12-wnd91f58;nmdc:dgms-12-2rbts353,Gp0566841,ready,yes,yes
GW-4579-Co1_14_4,nmdc:bsm-11-kgjz0433,nmdc_bsm-11-kgjz0433,SRX21791471,nmdc:dgms-12-3gexqv96;nmdc:dgms-12-nqpre713;nmdc:dgms-12-pzz61763;nmdc:dgms-12-01kx7877,Gp0566844,ready,yes,yes
BESC-198-CL2_38_5,nmdc:bsm-11-kgkcxn39,nmdc_bsm-11-kgkcxn39,SRX21791493,nmdc:dgms-12-3nzhfn65;nmdc:dgms-12-53cx2k43;nmdc:dgms-12-bknd2404;nmdc:dgms-12-pkbjg686,Gp0566768,ready,yes,yes
BESC-866-Co3_27_48,nmdc:bsm-11-kz54ep97,nmdc_bsm-11-kz54ep97,SRX21791467,nmdc:dgms-12-0cn1e577;nmdc:dgms-12-pgtqcq85;nmdc:dgms-12-y3fgqp48;nmdc:dgms-12-0wx6q987,Gp0566832,ready,yes,yes
BESC-388-CL2_50_4,nmdc:bsm-11-nn5snj10,nmdc_bsm-11-nn5snj10,SRX21791438,nmdc:dgms-12-sr7a8a07;nmdc:dgms-12-t47m4r65;nmdc:dgms-12-dddj1b24;nmdc:dgms-12-60863n19,Gp0566799,ready,yes,yes
BESC-904-CL2_57_20,nmdc:bsm-11-nvgcpg87,nmdc_bsm-11-nvgcpg87,SRX21791428,nmdc:dgms-12-ekn2px03;nmdc:dgms-12-rshs7j08;nmdc:dgms-12-ercat453;nmdc:dgms-12-78kkw397,Gp0566833,ready,yes,yes
BESC-13-Co2_41_23,nmdc:bsm-11-nz6f9964,nmdc_bsm-11-nz6f9964,SRX21792412,nmdc:dgms-12-fy0r9619;nmdc:dgms-12-kxkx7k42;nmdc:dgms-12-xejjfe86;nmdc:dgms-12-vaqapr40,Gp0566760,ready,yes,yes
BESC-833-Co3_31_37,nmdc:bsm-11-pejvvs20,nmdc_bsm-11-pejvvs20,SRX21791942,nmdc:dgms-12-5sagyq12;nmdc:dgms-12-kxj3f773;nmdc:dgms-12-94q9f752;nmdc:dgms-12-hbmdpb32,Gp0566814,ready,yes,yes
BESC-847-CL3_83_27,nmdc:bsm-11-pgfhya35,nmdc_bsm-11-pgfhya35,SRX21790364,nmdc:dgms-12-q83p1e44;nmdc:dgms-12-nxkg4h29;nmdc:dgms-12-hwr1kx83;nmdc:dgms-12-92xjd525,Gp0566823,ready,yes,yes
BESC-847-Co1_12_9,nmdc:bsm-11-qyx7qs76,nmdc_bsm-11-qyx7qs76,SRX21791449,nmdc:dgms-12-89n1sy18;nmdc:dgms-12-4a9trx33;nmdc:dgms-12-2zvyy933;nmdc:dgms-12-j8qygy56,Gp0566824,ready,yes,yes
BESC-847-CL2_38_7,nmdc:bsm-11-rbzk5h49,nmdc_bsm-11-rbzk5h49,SRX21791414,nmdc:dgms-12-e57hcg08;nmdc:dgms-12-b9ysfc73;nmdc:dgms-12-t49ne578;nmdc:dgms-12-asmwnx66,Gp0566822,ready,yes,yes
BESC-307-Co3_27_41,nmdc:bsm-11-rtchk112,nmdc_bsm-11-rtchk112,SRX21792781,nmdc:dgms-12-55qx3e35;nmdc:dgms-12-nk4xkn12;nmdc:dgms-12-cpjbxj06;nmdc:dgms-12-b96eqs43,Gp0566783,ready,yes,yes
BESC-351-CL2_54_28,nmdc:bsm-11-s110fy15,nmdc_bsm-11-s110fy15,SRX21791458,nmdc:dgms-12-8v6hrp98;nmdc:dgms-12-ydtnsf63;nmdc:dgms-12-ktkxmx79;nmdc:dgms-12-a12m3b82,Gp0566789,ready,yes,yes
BESC-448-CL1_35_3,nmdc:bsm-11-spzb5g89,nmdc_bsm-11-spzb5g89,SRX21791431,nmdc:dgms-12-kcx1eb23;nmdc:dgms-12-ae8qxt55;nmdc:dgms-12-3pgx1e16;nmdc:dgms-12-jphr1s64,Gp0566804,ready,yes,yes
BESC-56-Co3_6_53,nmdc:bsm-11-sqpv6146,nmdc_bsm-11-sqpv6146,SRX21791436,nmdc:dgms-12-225sk193;nmdc:dgms-12-rvza0004;nmdc:dgms-12-wejrqr56;nmdc:dgms-12-dqn81j32,Gp0566809,ready,yes,yes
BESC-845-CL3_80_19,nmdc:bsm-11-szd4fj93,nmdc_bsm-11-szd4fj93,SRX21791495,nmdc:dgms-12-hm7fqm79;nmdc:dgms-12-fknj9013;nmdc:dgms-12-bkj4eq91;nmdc:dgms-12-aycy4x76,Gp0566817,ready,yes,yes
GW-7986-Co2_68_28,nmdc:bsm-11-thpb7b07,nmdc_bsm-11-thpb7b07,SRX21791413,nmdc:dgms-12-g7gnz859;nmdc:dgms-12-9kbsws90;nmdc:dgms-12-h89r1147;nmdc:dgms-12-g0c5cd05,Gp0566848,ready,yes,yes
BESC-866-Co2_58_19,nmdc:bsm-11-tzp7r259,nmdc_bsm-11-tzp7r259,SRX21791440,nmdc:dgms-12-sf45r669;nmdc:dgms-12-jhpm6f40;nmdc:dgms-12-5ty4p945;nmdc:dgms-12-ft0mqg44,Gp0566831,ready,yes,yes
BESC-234-Co1_23_3,nmdc:bsm-11-v0hqhp22,nmdc_bsm-11-v0hqhp22,SRX21792401,nmdc:dgms-12-p2c5rk96;nmdc:dgms-12-h9f1ar42;nmdc:dgms-12-5972kx49;nmdc:dgms-12-e8w47b03,Gp0566772,ready,yes,yes
BESC-845-Co3_28_42,nmdc:bsm-11-v1ynyj85,nmdc_bsm-11-v1ynyj85,SRX21791386,nmdc:dgms-12-nwmcwv64;nmdc:dgms-12-pxxbrc62;nmdc:dgms-12-pkeqfq65;nmdc:dgms-12-j6jf1q27,Gp0566820,ready,yes,yes
BESC-360-Co3_13_34,nmdc:bsm-11-v85xpj21,nmdc_bsm-11-v85xpj21,SRX21791468,nmdc:dgms-12-jeamkr14;nmdc:dgms-12-84dazm97;nmdc:dgms-12-kh71tv67;nmdc:dgms-12-0rzfme52,Gp0566797,ready,yes,yes
BESC-307-CL2_57_8,nmdc:bsm-11-vc1cgz17,nmdc_bsm-11-vc1cgz17,SRX21792779,nmdc:dgms-12-caeh8h83;nmdc:dgms-12-ghqzng58;nmdc:dgms-12-z3cv8b68;nmdc:dgms-12-6e3s6c38,Gp0566780,ready,yes,yes
BESC-448-CL3_88_32,nmdc:bsm-11-vcna9q80,nmdc_bsm-11-vcna9q80,SRX21791442,nmdc:dgms-12-q6ay9h34;nmdc:dgms-12-k4bh1s40;nmdc:dgms-12-k2q6r664;nmdc:dgms-12-f4pacq15,Gp0566805,ready,yes,yes
BESC-13-CL1_35_33,nmdc:bsm-11-vnkf4228,nmdc_bsm-11-vnkf4228,SRX21792795,nmdc:dgms-12-2n32jw86;nmdc:dgms-12-zdmtm042;nmdc:dgms-12-0s71b942;nmdc:dgms-12-qcsqes08,Gp0566756,ready,yes,yes
BESC-845-CL1_31_22,nmdc:bsm-11-vv577p15,nmdc_bsm-11-vv577p15,SRX21791483,nmdc:dgms-12-t5typf80;nmdc:dgms-12-fxdwz810;nmdc:dgms-12-hf7n9d77;nmdc:dgms-12-gt3h1m82,Gp0566815,ready,yes,yes
GW-11047-CL1_23_5,nmdc:bsm-11-wdfz5578,nmdc_bsm-11-wdfz5578,SRX21791435,nmdc:dgms-12-scdw9087;nmdc:dgms-12-701ama19;nmdc:dgms-12-nt6pt131;nmdc:dgms-12-zw9rsp23,Gp0566840,ready,yes,yes
GW-4579-CL1_25_23,nmdc:bsm-11-wj8zqj74,nmdc_bsm-11-wj8zqj74,SRX21791427,nmdc:dgms-12-61mfp146;nmdc:dgms-12-83v79x47;nmdc:dgms-12-q4rkq248;nmdc:dgms-12-qamt3f83,Gp0566842,ready,yes,yes
SKWD-24-1-Co2_54_22,nmdc:bsm-11-wm40z541,nmdc_bsm-11-wm40z541,SRX21790363,nmdc:dgms-12-ga7g0t50;nmdc:dgms-12-sjz55c78;nmdc:dgms-12-pys4cj59;nmdc:dgms-12-xv2zq230,Gp0566862,ready,yes,yes
BESC-331-Co2_50_17,nmdc:bsm-11-wpsg6186,nmdc_bsm-11-wpsg6186,SRX21792776,nmdc:dgms-12-54sr1v57;nmdc:dgms-12-dxx6ms96;nmdc:dgms-12-9086km56;nmdc:dgms-12-891gwk36,Gp0566786,ready,yes,yes
