target,n_missing,pct_missing,n_zero,pct_zero,n_nonzero,pct_nonzero,n_samples_present,mean,median,variance,metabolite_key,assay,name,inchikey,kegg,chebi,Confidence Score,Entropy Similarity,Spectra with Annotation (n),flag_present_lt_10_samples,flag_present_lt_20_samples,flag_zero_gt_95pct
C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N,0,0.0,63,60.0,42,40.0,42,174695.65387336662,0.0,179060428216.62192,C18_negative|IK:DANYIYRPLHHOCZ-UHFFFAOYSA-N,C18_negative,Acacetin,DANYIYRPLHHOCZ-UHFFFAOYSA-N,C01470,15335.0,0.9986884276646018,0.76005006,2.0,False,False,False
C18_negative|IK:DJOJDHGQRNZXQQ-UHFFFAOYSA-N,0,0.0,80,76.19047619047619,25,23.80952380952381,25,16516.851925714516,0.0,1338603507.0563698,C18_negative|IK:DJOJDHGQRNZXQQ-UHFFFAOYSA-N,C18_negative,"4'-5-Dihydroxy-7-methoxyflavanone, 7-O-Methylnaringenin, Naringenin 7-O-methyl ether",DJOJDHGQRNZXQQ-UHFFFAOYSA-N,,,0.997400729527128,0.41799152,1.0,False,False,False
C18_negative|IK:DLIKSSGEMUFQOK-UHFFFAOYSA-N,0,0.0,78,74.28571428571429,27,25.714285714285715,27,66220.88209393731,0.0,71080308307.6515,C18_negative|IK:DLIKSSGEMUFQOK-UHFFFAOYSA-N,C18_negative,Naringenin 7-0-glucoside,DLIKSSGEMUFQOK-UHFFFAOYSA-N,,,0.9951502385985272,0.57903796,1.0,False,False,False
C18_negative|IK:DRTQHJPVMGBUCF-UHFFFAOYSA-N,0,0.0,15,14.285714285714286,90,85.71428571428571,90,236759.85017140012,128770.16232954276,75133392087.35422,C18_negative|IK:DRTQHJPVMGBUCF-UHFFFAOYSA-N,C18_negative,Tgba01AD,DRTQHJPVMGBUCF-UHFFFAOYSA-N,,,0.9869109186956486,0.6767002,1.0,False,False,False
C18_negative|IK:DYHOLQACRGJEHX-UHFFFAOYSA-N,0,0.0,58,55.23809523809524,47,44.76190476190476,47,41879.46674246514,0.0,6840514510.766193,C18_negative|IK:DYHOLQACRGJEHX-UHFFFAOYSA-N,C18_negative,Farrerol,DYHOLQACRGJEHX-UHFFFAOYSA-N,,,0.9991061518162324,0.42360446,1.0,False,False,False
C18_negative|IK:FEGXTMHRTZJSIG-MVXUSQBOSA-N,0,0.0,79,75.23809523809524,26,24.761904761904763,26,54142.05627338919,0.0,20120818652.37647,C18_negative|IK:FEGXTMHRTZJSIG-MVXUSQBOSA-N,C18_negative,"NCGC00381210-01_C18H32O11_(2E)-4-Hydroxy-3,4-dimethyl-2-penten-1-yl 6-O-[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)tetrahydro-2-furanyl]-beta-D-glucopyranoside",FEGXTMHRTZJSIG-MVXUSQBOSA-N,,,0.9951683170111744,0.36061954,2.0,False,False,False
C18_negative|IK:FQFJIJMMCVBRBL-UHFFFAOYSA-N,0,0.0,80,76.19047619047619,25,23.80952380952381,25,113987.9911752024,0.0,125141278694.72496,C18_negative|IK:FQFJIJMMCVBRBL-UHFFFAOYSA-N,C18_negative,"1-(2,3-Dibenzimidazol-2-ylpropyl)-2-methoxybenzene",FQFJIJMMCVBRBL-UHFFFAOYSA-N,,,0.616184817761083,0.3403311,1.0,False,False,False
C18_negative|IK:FQWZGEBZILOCET-BJGSYIFTSA-N,0,0.0,73,69.52380952380952,32,30.476190476190474,32,36136.92543139474,0.0,5060445991.08772,C18_negative|IK:FQWZGEBZILOCET-BJGSYIFTSA-N,C18_negative,Z-Gmca,FQWZGEBZILOCET-BJGSYIFTSA-N,,,0.9998075069060016,0.466011,1.0,False,False,False
C18_negative|IK:FTVWIRXFELQLPI-UHFFFAOYSA-N,0,0.0,29,27.61904761904762,76,72.38095238095238,76,97578.48983628933,62375.53581967205,15714818570.174316,C18_negative|IK:FTVWIRXFELQLPI-UHFFFAOYSA-N,C18_negative,"5,7-Dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",FTVWIRXFELQLPI-UHFFFAOYSA-N,,,0.99916433004607,0.8710641,2.0,False,False,False
C18_negative|IK:FTVWIRXFELQLPI-ZDUSSCGKSA-N,0,0.0,3,2.857142857142857,102,97.14285714285714,102,906378.297589339,926710.2946347818,39438282325.34472,C18_negative|IK:FTVWIRXFELQLPI-ZDUSSCGKSA-N,C18_negative,Naringenin,FTVWIRXFELQLPI-ZDUSSCGKSA-N,C00509,17846.0,0.7943578343850111,0.43813035,1.0,False,False,False
C18_negative|IK:FUQGIYDZGLORRC-UHFFFAOYSA-N,0,0.0,41,39.04761904761905,64,60.95238095238095,64,179897.41441968398,98987.078323178,92721130398.90479,C18_negative|IK:FUQGIYDZGLORRC-UHFFFAOYSA-N,C18_negative,CID 240469,FUQGIYDZGLORRC-UHFFFAOYSA-N,,,0.9993140698602024,0.46517533,1.0,False,False,False
C18_negative|IK:GEYBMYRBIABFTA-UHFFFAOYSA-N,0,0.0,6,5.714285714285714,99,94.28571428571429,99,103677.66959386054,110674.7122775428,734191672.7993166,C18_negative|IK:GEYBMYRBIABFTA-UHFFFAOYSA-N,C18_negative,2-Azaniumyl-3-(4-methoxyphenyl)propanoate,GEYBMYRBIABFTA-UHFFFAOYSA-N,,,0.9997136500112512,0.3399,1.0,False,False,False
C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0,0.0,70,66.66666666666667,35,33.333333333333336,35,90780.66355788732,0.0,44416709581.46156,C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,C18_negative,(+-)-Pantothenic acid,GHOKWGTUZJEAQD-UHFFFAOYSA-N,,,0.9976289554605462,0.7317603,3.0,False,False,False
C18_negative|IK:GKAJCVFOJGXVIA-UHFFFAOYSA-N,0,0.0,21,20.0,84,80.0,84,659025.6627901528,195611.6560419984,1002736259647.7201,C18_negative|IK:GKAJCVFOJGXVIA-UHFFFAOYSA-N,C18_negative,Ponticin,GKAJCVFOJGXVIA-UHFFFAOYSA-N,,,0.9969677421567122,0.57519966,1.0,False,False,False
C18_negative|IK:GUBGYTABKSRVRQ-QUYVBRFLSA-N,0,0.0,37,35.23809523809524,68,64.76190476190476,68,3652219.4689664743,2770198.823576369,16946585612612.783,C18_negative|IK:GUBGYTABKSRVRQ-QUYVBRFLSA-N,C18_negative,beta-Maltose,GUBGYTABKSRVRQ-QUYVBRFLSA-N,,,0.7273548326633721,0.6191925,4.0,False,False,False
C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,0,0.0,72,68.57142857142857,33,31.428571428571427,33,19185.029331353195,0.0,1792301975.834904,C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,C18_negative,2'-Hydroxy-4'-Methoxychalcone,GUNGQVJAKLIYDG-JXMROGBWSA-N,,,0.9967527292648664,0.38334098,1.0,False,False,False
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,0,0.0,80,76.19047619047619,25,23.80952380952381,25,21804.58152110502,0.0,2437897003.9382567,C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,C18_negative,"19-Hydroxy-18-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyicosanoic acid",GYUCMTKUEQLBJW-UHFFFAOYSA-N,,,0.963609941010244,0.311974,1.0,False,False,False
C18_negative|IK:GYXGAEAOIFNGAE-UHFFFAOYSA-N,0,0.0,21,20.0,84,80.0,84,197185.4744209712,111532.17660824768,66955850023.064224,C18_negative|IK:GYXGAEAOIFNGAE-UHFFFAOYSA-N,C18_negative,Isopropylidene-succinic acid,GYXGAEAOIFNGAE-UHFFFAOYSA-N,,,0.9994170431941924,0.38403282,2.0,False,False,False
C18_negative|IK:HDTRYLNUVZCQOY-LIZSDCNHSA-N,0,0.0,23,21.904761904761905,82,78.0952380952381,82,618537.2882989405,274684.0112705174,664244153103.295,C18_negative|IK:HDTRYLNUVZCQOY-LIZSDCNHSA-N,C18_negative,Trehalose,HDTRYLNUVZCQOY-LIZSDCNHSA-N,C01083,16551.0,0.9975186082403826,0.8192992,1.0,False,False,False
C18_negative|IK:HFGSQOYIOKBQOW-RFMFWNHYSA-N,0,0.0,74,70.47619047619048,31,29.523809523809526,31,45185.06118259305,0.0,17893306484.942905,C18_negative|IK:HFGSQOYIOKBQOW-RFMFWNHYSA-N,C18_negative,3-Epicorosolic acid,HFGSQOYIOKBQOW-RFMFWNHYSA-N,,,0.9928163359465064,0.41220617,2.0,False,False,False
C18_negative|IK:HMUJXQRRKBLVOO-UHFFFAOYSA-N,0,0.0,30,28.571428571428573,75,71.42857142857143,75,263583.5770687167,140925.00736302836,202459148312.7366,C18_negative|IK:HMUJXQRRKBLVOO-UHFFFAOYSA-N,C18_negative,"2,3-Dihydro-5,7-dihydroxy-2-(4-methoxyphenyl)-4H-1-benzopyran-4-one",HMUJXQRRKBLVOO-UHFFFAOYSA-N,,,0.9977699600760924,0.64976984,1.0,False,False,False
C18_negative|IK:IBGBGRVKPALMCQ-UHFFFAOYSA-N,0,0.0,85,80.95238095238095,20,19.047619047619047,20,84560.21002719502,0.0,42153040609.16028,C18_negative|IK:IBGBGRVKPALMCQ-UHFFFAOYSA-N,C18_negative,Protocatechualdehyde,IBGBGRVKPALMCQ-UHFFFAOYSA-N,,50205.0,0.9974469849363374,0.7881658,6.0,False,False,False
C18_negative|IK:IJFXRHURBJZNAO-UHFFFAOYSA-N,0,0.0,68,64.76190476190476,37,35.23809523809524,37,713167.8671901873,0.0,15898382788386.348,C18_negative|IK:IJFXRHURBJZNAO-UHFFFAOYSA-N,C18_negative,3-Hydroxybenzoic acid,IJFXRHURBJZNAO-UHFFFAOYSA-N,C00587,30764.0,0.998941955309221,0.75795656,5.0,False,False,False
C18_negative|IK:IQFYYKKMVGJFEH-UHFFFAOYSA-N,0,0.0,22,20.952380952380953,83,79.04761904761905,83,123889.74851659435,94713.71720405958,22895711831.552742,C18_negative|IK:IQFYYKKMVGJFEH-UHFFFAOYSA-N,C18_negative,"1-[4-Hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",IQFYYKKMVGJFEH-UHFFFAOYSA-N,,,0.9979309749411148,0.35815182,2.0,False,False,False
C18_negative|IK:IVKGLRZLTNXWKF-VAWYXSNFSA-N,0,0.0,72,68.57142857142857,33,31.428571428571427,33,21473.36955345155,0.0,2342446965.799892,C18_negative|IK:IVKGLRZLTNXWKF-VAWYXSNFSA-N,C18_negative,"2',4'-Dihydroxy-3'-(2-hydroxy benzyl)-6'-methoxy chalcone",IVKGLRZLTNXWKF-VAWYXSNFSA-N,,,0.8273788865887188,0.5933857,1.0,False,False,False
C18_negative|IK:IVRQZYXJBVMHCW-OTCFHACESA-N,0,0.0,77,73.33333333333333,28,26.666666666666668,28,54194.67702589798,0.0,22080851312.670296,C18_negative|IK:IVRQZYXJBVMHCW-OTCFHACESA-N,C18_negative,Osmanthuside H,IVRQZYXJBVMHCW-OTCFHACESA-N,,,0.9971392515498196,0.40512875,1.0,False,False,False
C18_negative|IK:JIDXOGPQCVBGSC-BXUICYMCSA-N,0,0.0,77,73.33333333333333,28,26.666666666666668,28,106774.77335096676,0.0,107409444402.77737,C18_negative|IK:JIDXOGPQCVBGSC-BXUICYMCSA-N,C18_negative,NCGC00380554-01_C22H38O10_2-(4-Methyl-3-cyclohexen-1-yl)-2-propanyl 6-O-(6-deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranoside,JIDXOGPQCVBGSC-BXUICYMCSA-N,,,0.9965642708402844,0.57942396,1.0,False,False,False
C18_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,0,0.0,81,77.14285714285714,24,22.857142857142858,24,143370.43108142648,0.0,322737822119.453,C18_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,C18_negative,3-Methyl-2-oxovaleric acid,JVQYSWDUAOAHFM-UHFFFAOYSA-N,C06008,35932.0,0.9990009784334296,0.3597104,2.0,False,False,False
C18_negative|IK:JXSVIVRDWWRQRT-UMCOSQRYSA-N,0,0.0,49,46.666666666666664,56,53.333333333333336,56,458244.5209296991,26494.519319041166,2470401176375.4287,C18_negative|IK:JXSVIVRDWWRQRT-UMCOSQRYSA-N,C18_negative,"2alpha,3alpha,24-Trihydroxyurs-12-en-28-oic acid",JXSVIVRDWWRQRT-UMCOSQRYSA-N,,,0.9916993152833068,0.39860648,1.0,False,False,False
C18_negative|IK:KDYFGRWQOYBRFD-UHFFFAOYSA-N,0,0.0,77,73.33333333333333,28,26.666666666666668,28,270750.3698231378,0.0,614914069177.1981,C18_negative|IK:KDYFGRWQOYBRFD-UHFFFAOYSA-N,C18_negative,Succinic Acid,KDYFGRWQOYBRFD-UHFFFAOYSA-N,C00042,15741.0,0.9984479621733202,0.8814006,5.0,False,False,False
C18_negative|IK:KHQBUXVQVFVJTF-UHFFFAOYSA-N,0,0.0,18,17.142857142857142,87,82.85714285714286,87,495959.2565496935,160809.064409442,2999167244671.191,C18_negative|IK:KHQBUXVQVFVJTF-UHFFFAOYSA-N,C18_negative,"1-(2,4-Dihydroxy-5-methoxyphenyl)-2-phenylethanone",KHQBUXVQVFVJTF-UHFFFAOYSA-N,,,0.9865664084121696,0.3237252,1.0,False,False,False
C18_negative|IK:KKSDGJDHHZEWEP-SNAWJCMRSA-N,0,0.0,76,72.38095238095238,29,27.61904761904762,29,91918.84347766242,0.0,40958775057.190414,C18_negative|IK:KKSDGJDHHZEWEP-SNAWJCMRSA-N,C18_negative,3'-Hydroxycinnamic acid,KKSDGJDHHZEWEP-SNAWJCMRSA-N,C12621,32357.0,0.992434024050161,0.77032065,2.0,False,False,False
C18_negative|IK:KMQUGCQVIDIVLT-CKNMYDPISA-N,0,0.0,45,42.857142857142854,60,57.142857142857146,60,386319.0038369796,33425.57680162974,1279656962891.6616,C18_negative|IK:KMQUGCQVIDIVLT-CKNMYDPISA-N,C18_negative,Populoside,KMQUGCQVIDIVLT-CKNMYDPISA-N,,,0.9987525206095692,0.54455316,1.0,False,False,False
C18_negative|IK:KQBFNIVRWYGXRN-QJMXJWGSSA-N,0,0.0,55,52.38095238095238,50,47.61904761904762,50,327896.1719177212,0.0,563394700501.0593,C18_negative|IK:KQBFNIVRWYGXRN-QJMXJWGSSA-N,C18_negative,"2-(3,4-dihydroxyphenyl)ethyl (1S,4aR,7aR)-4a-hydroxy-7-methyl-5-oxo-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,6,7,7a-tetrahydrocyclopenta[c]pyran-4-carboxylate",KQBFNIVRWYGXRN-QJMXJWGSSA-N,,,0.8139206617673155,0.30170512,1.0,False,False,False
C18_negative|IK:KZNIFHPLKGYRTM-UHFFFAOYSA-N,0,0.0,50,47.61904761904762,55,52.38095238095238,55,63274.66909531821,19807.328172635287,26793941834.8963,C18_negative|IK:KZNIFHPLKGYRTM-UHFFFAOYSA-N,C18_negative,Apigenin,KZNIFHPLKGYRTM-UHFFFAOYSA-N,C01477,18388.0,0.9976444938364706,0.60380656,1.0,False,False,False
C18_negative|IK:LJCWONGJFPCTTL-ZETCQYMHSA-N,0,0.0,35,33.333333333333336,70,66.66666666666667,70,460222.77953476715,682305.6450774451,125994599510.16002,C18_negative|IK:LJCWONGJFPCTTL-ZETCQYMHSA-N,C18_negative,(S)-4-hydroxyphenylglycine,LJCWONGJFPCTTL-ZETCQYMHSA-N,C12323,31755.0,0.4056276070639893,0.34577414,1.0,False,False,False
C18_negative|IK:LKDRXBCSQODPBY-JDJSBBGDSA-N,0,0.0,75,71.42857142857143,30,28.571428571428573,30,58042.0632422832,0.0,11728031627.567003,C18_negative|IK:LKDRXBCSQODPBY-JDJSBBGDSA-N,C18_negative,D-Psicose,LKDRXBCSQODPBY-JDJSBBGDSA-N,,,0.9962368385285832,0.5454669,1.0,False,False,False
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,0,0.0,72,68.57142857142857,33,31.428571428571427,33,49048.237293032595,0.0,15992396237.987255,C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,C18_negative,"3,7-Dihydroxy-3',4'-dimethoxyflavone",LTSJJOKAWSCMBC-UHFFFAOYSA-N,,,0.9950887901986144,0.3232263,1.0,False,False,False
C18_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,0,0.0,23,21.904761904761905,82,78.0952380952381,82,1751158.2589817012,618933.829294879,9654920811513.074,C18_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,C18_negative,"2-(4-Hydroxy-3-methoxy-phenyl)-6,8-dimethyl-chromen-4-one",LWYJCVVIVLBLID-UHFFFAOYSA-N,,,0.9864584911153084,0.36640656,1.0,False,False,False
C18_negative|IK:MLSVKXQHUTYXHD-VIZOYTHASA-N,0,0.0,65,61.904761904761905,40,38.095238095238095,40,111469.29729865311,0.0,81772783003.3096,C18_negative|IK:MLSVKXQHUTYXHD-VIZOYTHASA-N,C18_negative,"4-[3-[(2E)-3,7-dimethylocta-2,6-dienyl]-2,6-dihydroxybenzoyl]-3-formyl-5-hydroxybenzoic acid",MLSVKXQHUTYXHD-VIZOYTHASA-N,,,0.9101677878516156,0.3630738,1.0,False,False,False
C18_negative|IK:MPDGHEJMBKOTSU-UHFFFAOYSA-N,0,0.0,57,54.285714285714285,48,45.714285714285715,48,81751.55354657283,0.0,79424712112.75351,C18_negative|IK:MPDGHEJMBKOTSU-UHFFFAOYSA-N,C18_negative,"Olean-12-en-29-oic acid, 3-hydroxy-11-oxo-, (3beta,20beta)-",MPDGHEJMBKOTSU-UHFFFAOYSA-N,,,0.92467022491656,0.683909,1.0,False,False,False
C18_negative|IK:MQSXZQXHIJMNAF-UHFFFAOYSA-N,0,0.0,80,76.19047619047619,25,23.80952380952381,25,17178.67115379372,0.0,2569472466.980566,C18_negative|IK:MQSXZQXHIJMNAF-UHFFFAOYSA-N,C18_negative,Skyrin,MQSXZQXHIJMNAF-UHFFFAOYSA-N,,,0.9778236242126668,0.6243757,1.0,False,False,False
C18_negative|IK:MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,0,0.0,43,40.95238095238095,62,59.04761904761905,62,243378.3795429991,203932.0635093678,73933661726.28828,C18_negative|IK:MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,C18_negative,Raffinose,MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,C00492,16634.0,0.8589691959575337,0.84196943,2.0,False,False,False
C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0,0.0,0,0.0,105,100.0,105,10146523.894586537,3210617.8959338665,207641944029967.66,C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,C18_negative,"beta-D-Glucopyranoside, 2-(hydroxymethyl)phenyl",NGFMICBWJRZIBI-UHFFFAOYSA-N,,,0.9990315580086422,0.51504374,1.0,False,False,False
C18_negative|IK:NJRLDXGREKHXGV-IVABAYMNSA-N,0,0.0,47,44.76190476190476,58,55.23809523809524,58,2036752.0063519054,435812.0428077504,10066773863140.383,C18_negative|IK:NJRLDXGREKHXGV-IVABAYMNSA-N,C18_negative,Galapagin,NJRLDXGREKHXGV-IVABAYMNSA-N,,,0.7797799274597131,0.3093049,2.0,False,False,False
C18_negative|IK:NLDDIKRKFXEWBK-UHFFFAOYSA-N,0,0.0,13,12.380952380952381,92,87.61904761904762,92,66087.87938029911,34750.67430939444,26236365159.97088,C18_negative|IK:NLDDIKRKFXEWBK-UHFFFAOYSA-N,C18_negative,5-Hydroxy-1-(4-Hydroxy-3-Methoxyphenyl)Decan-3-One,NLDDIKRKFXEWBK-UHFFFAOYSA-N,,,0.9942408689437192,0.6676994,1.0,False,False,False
C18_negative|IK:OCNYGKNIVPVPPX-UHFFFAOYSA-N,0,0.0,72,68.57142857142857,33,31.428571428571427,33,28469.422007605182,0.0,4118236253.8981094,C18_negative|IK:OCNYGKNIVPVPPX-UHFFFAOYSA-N,C18_negative,"Methyl 3,4-dihydroxycinnamate",OCNYGKNIVPVPPX-UHFFFAOYSA-N,,,0.9996355322095866,0.3527353,1.0,False,False,False
C18_negative|IK:ODHCTXKNWHHXJC-UHFFFAOYSA-N,0,0.0,62,59.04761904761905,43,40.95238095238095,43,262477.9874875889,0.0,271059728180.76047,C18_negative|IK:ODHCTXKNWHHXJC-UHFFFAOYSA-N,C18_negative,Pyrrolidone carboxylic acid,ODHCTXKNWHHXJC-UHFFFAOYSA-N,,,0.9989883079117652,0.40689456,1.0,False,False,False
C18_negative|IK:OKUXNMMTKMWVBG-BFMVXSJESA-N,0,0.0,17,16.19047619047619,88,83.80952380952381,88,7490361.179589296,4932914.643562984,67880761479268.53,C18_negative|IK:OKUXNMMTKMWVBG-BFMVXSJESA-N,C18_negative,Itoside A,OKUXNMMTKMWVBG-BFMVXSJESA-N,,,0.6621697885695137,0.53587973,2.0,False,False,False
